location,name,freq,weighting,n_factors,date,ret
usa,accruals,monthly,ew,6,1970-07-31,0.00194571872078929
usa,accruals,monthly,ew,6,1970-08-31,-0.0011846688163521
usa,accruals,monthly,ew,6,1970-09-30,-0.0327579557776941
usa,accruals,monthly,ew,6,1970-10-31,0.0159485015738589
usa,accruals,monthly,ew,6,1970-11-30,0.00399620075036836
usa,accruals,monthly,ew,6,1970-12-31,-0.00390821153061391
usa,accruals,monthly,ew,6,1971-01-31,0.00810208347228347
usa,accruals,monthly,ew,6,1971-02-28,0.0014151846549986
usa,accruals,monthly,ew,6,1971-03-31,-0.00997543870487027
usa,accruals,monthly,ew,6,1971-04-30,-0.0092715172768094
usa,accruals,monthly,ew,6,1971-05-31,-0.00285189685577753
usa,accruals,monthly,ew,6,1971-06-30,-0.0115714161531704
usa,accruals,monthly,ew,6,1971-07-31,0.0117197767309983
usa,accruals,monthly,ew,6,1971-08-31,-0.00252964847751053
usa,accruals,monthly,ew,6,1971-09-30,-0.0104756611364889
usa,accruals,monthly,ew,6,1971-10-31,0.00569261388329162
usa,accruals,monthly,ew,6,1971-11-30,-0.00563722927663574
usa,accruals,monthly,ew,6,1971-12-31,-0.00985749178470959
usa,accruals,monthly,ew,6,1972-01-31,0.0192663164280801
usa,accruals,monthly,ew,6,1972-02-29,0.000820144904041137
usa,accruals,monthly,ew,6,1972-03-31,-0.00541965298630557
usa,accruals,monthly,ew,6,1972-04-30,0.000300570136181875
usa,accruals,monthly,ew,6,1972-05-31,-0.0104081334255794
usa,accruals,monthly,ew,6,1972-06-30,0.002232262725791
usa,accruals,monthly,ew,6,1972-07-31,0.00947969947725808
usa,accruals,monthly,ew,6,1972-08-31,0.0039426526571395
usa,accruals,monthly,ew,6,1972-09-30,-0.00363696987615457
usa,accruals,monthly,ew,6,1972-10-31,0.00730437261257669
usa,accruals,monthly,ew,6,1972-11-30,0.00322719247659586
usa,accruals,monthly,ew,6,1972-12-31,-0.00378902882379469
usa,accruals,monthly,ew,6,1973-01-31,0.0213881481165213
usa,accruals,monthly,ew,6,1973-02-28,0.0183460404746908
usa,accruals,monthly,ew,6,1973-03-31,0.0132180128664722
usa,accruals,monthly,ew,6,1973-04-30,0.0234752723294385
usa,accruals,monthly,ew,6,1973-05-31,0.00422148580174802
usa,accruals,monthly,ew,6,1973-06-30,0.0164835365292239
usa,accruals,monthly,ew,6,1973-07-31,-0.0350193828750061
usa,accruals,monthly,ew,6,1973-08-31,0.00736876305901016
usa,accruals,monthly,ew,6,1973-09-30,-0.0168579568806346
